#NGC 4536
#Name	logP	m		
C1-V3	1.480	26.04	
C1-V4	1.312	26.05	
C1-V5	1.505	25.65	
C1-V6	1.551	25.75	
C1-V10	1.580	25.31	
C2-V4	1.458	25.81	
C2-V6	1.435	26.00	
C2-V8	1.771	24.74	
C2-V9	1.763	25.39	
C2-V14	1.726	25.12	
C2-V16	1.519	25.31	
C2-V20	1.327	26.21	
C2-V22	1.623	25.61	
C2-V29	1.477	26.14	
C2-V30	1.490	25.75	
C2-V34	1.491	25.93	
C2-V36	1.535	25.24	
C3-V3	1.813	24.80	
C3-V7	1.348	26.06	
C3-V11	1.407	25.53	
C3-V12	1.364	25.18	
C3-V18	1.386	26.00	
C3-V21	1.799	25.13	
C3-V22	1.562	25.33	
C3-V24	1.447	25.55	
C3-V25	1.771	24.49	
C3-V31	1.458	25.62	
C3-V32	1.597	25.60	
C4-V5	1.387	25.53	
C4-V8	1.699	25.35	
C4-V13	1.740	25.44	
